app_name,initial_avg_cpu_80,limited_avg_cpu_80,cpu_usage_change_80,initial_avg_cpu_50,limited_avg_cpu_50,cpu_usage_change_50,initial_avg_cpu,limited_avg_cpu_30,cpu_usage_change_30
AMPDeviceDiscoveryAgent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AirPlayUIAgent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AppleSpell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AssetCacheLocatorService,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AudioComponentRegistrar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BTLEServerAgent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BatteriesAvocadoWidgetExtension,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.04,0.04
BiomeAgent,0.0,0.0,0.0,0.0,0.06000000000000001,0.06000000000000001,0.0,0.04,0.04
Brave Browser,0.9199999999999999,1.7600000000000002,0.8400000000000003,0.9199999999999999,1.3199999999999998,0.3999999999999999,0.9199999999999999,1.7600000000000002,0.8400000000000003
Brave Browser Helper,0.355,0.2,-0.15499999999999997,0.355,0.18,-0.175,0.355,0.16999999999999998,-0.185
Brave Browser Helper (GPU),4.4,3.34,-1.0600000000000005,4.4,1.78,-2.62,4.4,1.2200000000000002,-3.18
Brave Browser Helper (Plugin),0.0,0.02,0.02,0.0,0.06000000000000001,0.06000000000000001,0.0,0.04,0.04
Brave Browser Helper (Renderer),2.176428571428571,0.5442857142857143,-1.632142857142857,2.176428571428571,0.3864285714285714,-1.7899999999999998,2.176428571428571,0.5635714285714286,-1.6128571428571425
CMFSyncAgent,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
CategoriesService,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CommCenter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ContainerMetadataExtractor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ContextService,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ContextStoreAgent,0.0,0.02,0.02,0.0,0.12,0.12,0.0,0.06000000000000001,0.06000000000000001
ContinuityCaptureAgent,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,0.02
ControlCenter,0.06000000000000001,0.08,0.01999999999999999,0.06000000000000001,0.36,0.3,0.06000000000000001,0.36,0.3
ControlCenterHelper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CoreLocationAgent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CoreServicesUIAgent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CursorUIViewService,0.0,0.12,0.12,0.0,0.21999999999999997,0.21999999999999997,0.0,0.3,0.3
DiskUnmountWatcher,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dock,0.0,0.0,0.0,0.0,0.08,0.08,0.0,0.06000000000000001,0.06000000000000001
FindMyWidgetIntentsPeople,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Finder,0.0,0.08,0.08,0.0,0.1,0.1,0.0,0.1,0.1
